user_id,status_id,created_at,screen_name,text,source,display_text_width,country
349025752,1406696683732451333,2021-06-20T19:33:19Z,bangsonyeontan,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for iPhone,122,NA
759932974146072576,1406696667865251844,2021-06-20T19:33:15Z,YayaIsmail8,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
4213648994,1406696625154576389,2021-06-20T19:33:05Z,davinalytle,"It's not where or from whom you came from, it's where &amp; with whom you belong.""

So if you don't have a father to celebrate today, try celebrating you &amp; how great you've been parenting yourself. I am. 😊

#PTSD #CSA #FromSurvivorToThriver",Twitter Web App,244,NA
1123073001661054977,1406696614488592386,2021-06-20T19:33:02Z,the_keigirl42,"A series of scriptures regarding fatherhood or parenting I liked:

""Train up a child in the way he should go: &amp; when he is old, he will not depart from it,"" Proverbs 22:6",Twitter for Android,174,NA
1667612029,1406696610084667394,2021-06-20T19:33:01Z,xxmason_,New age parenting on TikTok https://t.co/MzJTV9X6VM,Twitter for iPhone,69,NA
219361877,1406696608297897996,2021-06-20T19:33:01Z,debamz,"Happy Father’s Day Babie Mii..You make this whole parenting affair look seamless. A father like you deserves more than one Father’s Day, Q.E.D. I’ll choose you over and over again.
P.S: I’ve stopped vexing that the children like you more than they like me😒
I love you babie Mii❤️ https://t.co/nZ1Astu6p6",Twitter for Android,140,NA
323420067,1406696591768141832,2021-06-20T19:32:57Z,91Alitha,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
2946451379,1406696568074407936,2021-06-20T19:32:51Z,LionKingsMane,New age parenting on TikTok https://t.co/MzJTV9X6VM,Twitter for iPhone,69,NA
1143540486,1406696564928790528,2021-06-20T19:32:50Z,HodlerTodler,@Moon_Guurl @swearingfrench No because we would have been siblings and then we would have went on gambling streaks and made millions- Published a book about Eli’s parenting skills and how it helped us in poker while making a killing - Then using the proceeds to start schools and build wells 😜🤣 sounds fun?,Twitter for iPhone,278,NA
1107350211616272385,1406696561648803842,2021-06-20T19:32:50Z,dxadlxavxs,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
942601526413062144,1406696536520761346,2021-06-20T19:32:44Z,MOONPROMISE_BTS,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
927990256074395648,1406696535665037316,2021-06-20T19:32:43Z,_maphosa_,"Happy Father’s Day @TapsMarv.thank you for being an amazing dad to my girls.for being reliable and helpful and making parenting so much easier.i feel lucky that my kids get to experience what a great father is.well done!!! 🌟 

P.S hakuna gift your kids are unemployed bruh 😫",Twitter for Android,140,NA
2221827968,1406696531445485570,2021-06-20T19:32:42Z,popashere,It was a huge shift from #Disneys usual depiction of parenting! #TheEmperorsNewGroove https://t.co/wqjaS0ibYG https://t.co/aFO7fzDCnI,Twitter Web App,140,NA
197565236,1406696506623733766,2021-06-20T19:32:36Z,ThFundraiser,"Cos it implies that a single mother isn't ""complete"" until she has also added the feather of ""fatherhood"" to her parenting hat. As per it's not enough to just be a mum, she must also be a dad to earn extra accolades. Why? What does doubling as a father even mean? https://t.co/DMegVqa1FC",Twitter for Android,140,NA
1219978186337005568,1406696505336025093,2021-06-20T19:32:36Z,floristaegi,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for iPhone,122,NA
1192426972451934208,1406696489213218818,2021-06-20T19:32:32Z,FieldMontgomery,"My friend Dan shares an experience that seems all too common for a lot of us. ""Parenting by Exception"".

Our own parents may not like it, but I think our children are a lot happier, and far more validated, than we were. And I believe we're better parents, too. https://t.co/6yFgKHEt4F",Twitter for Android,260,NA
1387246071617892353,1406696488974045184,2021-06-20T19:32:32Z,mossadmilkers,"In honor of father's day, I'll be tweeting obscure parenting facts from my pov as a single mother for each quote tweet w/ a  made-up slur briefly explaining it's use case",Twitter for Android,170,NA
1057347513630449665,1406696483668127749,2021-06-20T19:32:31Z,shinju_yn,"asian parenting is actually toxic, agree with me.",Twitter for Android,63,NA
447821112,1406696453381267460,2021-06-20T19:32:24Z,jaam_e_jamm,Parenting is a difficult task especially for a muslim in this part of the world where hate against us is so normal. We have to answer lot of questions raised by kids.,Twitter for Android,140,NA
2759208438,1406696440080912390,2021-06-20T19:32:21Z,taehyungiiist,and then there's taehyung &amp; jungkook parenting yeontan. happy father's day 💗 https://t.co/LjtyK0QklW,Twitter for iPhone,120,NA
1252133936752324608,1406696409982636038,2021-06-20T19:32:13Z,Nns_03,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
769212032843325440,1406696392446267392,2021-06-20T19:32:09Z,withloveagustd,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
720909290530217984,1406696389065596929,2021-06-20T19:32:08Z,autumnleafsin,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
515001063,1406696314780409863,2021-06-20T19:31:51Z,oh_minyoonie,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
772412441619816448,1406696314272894981,2021-06-20T19:31:51Z,affinityhub_uk,"We know special needs parenting can be lonely - often more so for dads who have even less support available to them than mothers (who still don’t get much).

Important to recognise the vital role you play.👏👏👏 #FathersDay #specialneedsdads https://t.co/1k4UEs6hLf",Twitter for iPhone,238,NA
1035684538947649538,1406696307742367751,2021-06-20T19:31:49Z,yaw_ea,"@KwabenaGyam_ yes💀💀

parenting looks too difficult",Twitter for Android,36,NA
114668930,1406696304877752324,2021-06-20T19:31:48Z,andrevautour,"""I let my child create their own gender identity. The experience has been a gift for us both"" https://t.co/5gax6xYO6u",Twitter Web App,117,NA
1390047917424222210,1406696294517817353,2021-06-20T19:31:46Z,bxlzooo,Happy Father's Day to the immigrant Papas who became fathers at the same age we are still exploring what we want. The ones who were parenting themselves as they were learning to parent us. The ones learning to be fathers without their fathers to guide them.,Twitter for iPhone,139,NA
1151706649024847872,1406696291543908355,2021-06-20T19:31:45Z,donnn10_24,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
1401606041104785410,1406696259818229760,2021-06-20T19:31:38Z,tvaoftime,"but also shout out to herself for dealing with Odin's parenting through the years. 

      she'd be damned if she didn't give herself the benefit of the doubt sometimes.",Twitter for iPhone,140,NA
